Sector,Project Name,Type,URL,Date,File Size
Informatizacia,"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server – MV SR",analýza,https://www.mfsr.sk/files/archiv/94/microsoft_MVSR_hodnotenie_UHP_20211005.pdf,06.10.2021,240 kB
Informatizacia,"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server – MO SR",analýza,https://www.mfsr.sk/files/archiv/61/microsoft_MOSR_hodnotenie_UHP_20210922_1300.pdf,22.9.2021,250 kB
Informatizacia,"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server – MO SR",štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4463_210804_studia-uskutocnitelnosti.pdf,22.9.2021,246 kB
Informatizacia,"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server – MO SR",analýza,https://www.mosr.sk/data/files/4461_analyza.pdf,22.9.2021,029 kB
Informatizacia,Slovensko v mobile,analýza,https://www.mfsr.sk/files/archiv/83/SvM_UHP_hodnotenie_20210518.pdf,17.6.2021,156 kB
Informatizacia,"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server",analýza,https://www.mfsr.sk/files/archiv/36/microsoft_hodnotenie_UHP_20210511.pdf,12.5.2021,330  kB
Informatizacia,eCommerce - Zásielky nízkej hodnoty,analýza,https://www.mfsr.sk/files/archiv/88/eCommerce_201203_web.pdf,3.12.2020,296  kB
Informatizacia,Zmluva na prevádzku a rozvoj systému Portál finančnej správy (PFS),analýza,https://www.mfsr.sk/files/archiv/65/pfs_sla_hodnotenie_20200316.pdf,16.03.2020,262  kB
Informatizacia,Zmluva na prevádzku a rozvoj systému Portál finančnej správy (PFS),štúdia uskutočniteľnosti,https://www.mfsr.sk/files/archiv/96/Dokument-PredmetSLArozvojPFS2020v_public.pdf,,1149  kB
Informatizacia,Zvýšenie kapacity vládneho cloudu v Datacentre Tajov,analýza,https://www.mfsr.sk/files/archiv/65/IaaS_Tajov_UHP_hodnotenie_200122.pdf,28.01.2020,330 kB
Informatizacia,Zmluva na prevádzku a rozvoj systému Rozpočtový informačný systém (RIS),analýza,https://www.mfsr.sk/files/archiv/71/RIS_SLA_hodnotenie_20191206.pdf,12.12.2019,271 kB
Informatizacia,Informačný systém komplexného vybavenia cestujúcich,analýza,https://www.mfsr.sk/files/archiv/37/KVC_UHP_hodnotenie_20190812_2.pdf,19.8.2019,278 kB
Informatizacia,Vládny cloud – rozšírenie o Komunitný zdravotnícky cloud,analýza,https://www.mfsr.sk/files/archiv/86/ZDE_UHP_hodnotenie_20190701.pdf,1.7.2019,258 kB
Informatizacia,Centrum ochrany kritickej infraštruktúry a podpora činností v oblasti krízového riadenia Slovenskej republiky v gescii MH SR,analýza,https://www.mfsr.sk/files/archiv/27/MH_SR_Krit_infra_UHP_hodnotenie_190701.pdf,1.7.2019,280 kB
Informatizacia,Atlas pasívnej infraštruktúry,analýza,https://www.mfsr.sk/files/archiv/62/API_UHP_hodnotenie_20190611.pdf,11.6.2019,274 kB
Informatizacia,"Vybudovanie Centra simulácie, výskumu a výuky kybernetických hrozieb a kybernetickej bezpečnosti",analýza,https://www.mfsr.sk/files/archiv/94/kyberarena_UHP_hodnotenie_20190611.pdf,11.6.2019,277 kB
Informatizacia,Centrálny systém súdneho riadenia,analýza,https://www.mfsr.sk/files/archiv/19/CSSR_UHP_hodnotenie_20190611.pdf,11.6.2019,455 kB
Informatizacia,Vybudovanie nosnej infraštruktúry bezpečného informačno-komunikačného systému FS SR,analýza,https://www.mfsr.sk/files/archiv/35/CyberFS_UHP_hodnotenie_20190611.pdf,11.6.2019,260 kB
Informatizacia,Rozšírenie portfólia služieb a inovácia služieb elektronického zdravotníctva,analýza,https://www.mfsr.sk/files/archiv/76/ESO2_UHP_hodnotnie_20190611.pdf,11.6.2019,253 kB
Informatizacia,Zvýšenie kapacity vládneho cloudu v Datacentre Kopčianska,analýza,https://www.mfsr.sk/files/archiv/3/IaaS_Kopc_UHP_hodnotenie_20190611.pdf,11.6.2019,287 kB
Informatizacia,Konsolidovaná analytická vrstva,analýza,https://www.mfsr.sk/files/archiv/25/KAV_UHP_hodnotenie_190611.pdf,11.6.2019,261 kB
Informatizacia,Jednotný informačný systém štatistických údajov,analýza,https://www.mfsr.sk/files/archiv/34/JISSU_UHP_hodnotenie_20190611.pdf,11.6.2019,442 kB
