Sector,Project Name,Type,URL,Date,File Size
Informatizacia,Rozšírenie portfólia služieb a inovácia služieb elektronického zdravotníctva,analýza,https://www.mfsr.sk/files/archiv/76/ESO2_UHP_hodnotnie_20190611.pdf,11.6.2019,253 kB
Informatizacia,Zvýšenie kapacity vládneho cloudu v Datacentre Kopčianska,analýza,https://www.mfsr.sk/files/archiv/3/IaaS_Kopc_UHP_hodnotenie_20190611.pdf,11.6.2019,287 kB
Informatizacia,Konsolidovaná analytická vrstva,analýza,https://www.mfsr.sk/files/archiv/25/KAV_UHP_hodnotenie_190611.pdf,11.6.2019,261 kB
Informatizacia,Jednotný informačný systém štatistických údajov,analýza,https://www.mfsr.sk/files/archiv/34/JISSU_UHP_hodnotenie_20190611.pdf,11.6.2019,442 kB
Informatizacia,"Sčítanie obyvateľov, domov a bytov 2021",analýza,https://www.mfsr.sk/files/archiv/81/SODB21_UHP_hodnotenie_190509.pdf,16.5.2019,144 kB
Informatizacia,Modernizácia dávkových agend Sociálnej poisťovne,analýza,https://www.mfsr.sk/files/archiv/9/MODA_UHP_hodnotenie_20190423.pdf,24.4.2019,257 kB
Informatizacia,IT platforma lepšej regulácie podľa stratégie RIA 2020 - 2. fáza,analýza,https://www.mfsr.sk/files/archiv/10/RIA_hodnotenie_UHP_2019-04-24_bez_TC.pdf,24.4.2019,463 kB
Informatizacia,Elektronizácia služieb regionálneho a vysokého školstva SR,analýza,https://www.mfsr.sk/files/archiv/66/MS_UHP_hodnotenie_190424.pdf,24.4.2019,266 kB
Informatizacia,Služby certifikačnej autority pre FS (PKI služby pre FS) a PKI e-Kasa,analýza,https://www.mfsr.sk/files/archiv/50/PKI_FS_hodnotenie_20190408_1530.pdf,8.4.2019,230 kB
Informatizacia,Systém verejného obstarávania,analýza,https://www.mfsr.sk/files/archiv/55/SVO_UHP_hodnotenie_20190220.pdf,21.01.2019,261 kB
Informatizacia,Pamiatkový informačný systém,analýza,https://www.mfsr.sk/files/archiv/4/PAMIS_UHP_hodnotenie_20190220.pdf,21.01.2019,264 kB
Informatizacia,Digitálny ekosystém inklúzie,analýza,https://www.mfsr.sk/files/archiv/83/DEI_UHP_hodnotenie_20190220_1030.pdf,21.01.2019,272 kB
Informatizacia,Centrálna API Manažment Platforma,analýza,https://www.mfsr.sk/files/archiv/63/API_GW_UHP_hodnotenie_20190220.pdf,21.01.2019,264 kB
Informatizacia,Zefektívnenie štátneho dozoru v starostlivosti o životné prostredie,analýza,https://www.mfsr.sk/files/archiv/34/SIZP_UHP_hodnotenie_20190215.pdf,21.01.2019,459 kB
Informatizacia,Zabezpečenie efektívneho používania služieb ESO1 poskytovateľmi zdravotnej starostlivosti na celom území SR (projekt ESO1 – D),analýza,https://www.mfsr.sk/files/archiv/79/ESO1D_UHP_hodnotenie_20181215.pdf,17.12.2018,268 kB
Informatizacia,Online procesy eZdravia,analýza,https://www.mfsr.sk/files/archiv/17/OPE_UHP_hodnotenie_20181206.pdf,17.12.2018,246 kB
Informatizacia,Optimalizácia procesov riadenia a prevádzky Zboru väzenskej a justičnej stráže,analýza,https://www.mfsr.sk/files/archiv/71/ZVJS_UHP_hodnotenie_181210.pdf,17.12.2018,294 kB
Informatizacia,Informačný systém elektronickej fakturácie,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/efaktura_UHP_hodnotenie_20181009_titulka.pdf,19.11.2018,246 kB
Informatizacia,Inklúzia prostredníctvom komplexného elektronického riešenia problematiky parkovania osôb s ťažkým zdravotným postihnutím,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/einkluzia_UHP_hodnotenie_20181010.pdf,10.10.2018,279 kB
Informatizacia,Integrovaný informačný systém Úradu verejného zdravotníctva,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/IS_UVZ_UHP_hodnotenie_20181010.pdf,10.10.2018,314 kB
